Ticker,Price,EPS,Book Value,Dividend per Share,Net Income,Shareholder Equity,Current Liabilities,EBIT,Total Assets,Total Liabilities,Revenue,Operating Income,Free Cash Flow
HIMATSEIDE.NS,130.6999969482422,5.65,161.675,0.25,760403000.0,20327344000.0,21637945000.0,3331888000.0,56595823000.0,36268479000.0,27781973000.0,3627258000.0,2115205000.0
HINDALCO.NS,706.7000122070312,76.13,557.136,5.0,160010000000.0,1237090000000.0,655160000000.0,256660000000.0,2659910000000.0,1422700000000.0,2370220000000.0,254740000000.0,37610000000.0
HINDCOMPOS.NS,468.0,22.86,734.329,2.0,350000000.0,10845200000.0,578600000.0,447900000.0,11960700000.0,1115500000.0,3250800000.0,484900000.0,91700000.0
HINDCON.NS,34.470001220703125,1.61,9.758,0.2,61806000.0,499543000.0,87287000.0,84265000.0,595662000.0,90175000.0,645094000.0,67431000.0,55401000.0
HINDCOPPER.NS,242.259994506836,5.02,27.579,0.92,4651200000.0,26609100000.0,4939500000.0,6393300000.0,35008000000.0,8398800000.0,20709600000.0,5620600000.0,1243000000.0
HINDNATGLS.NS,14.079999923706056,-2.05,-89.884,0.0,259533000.0,-8049398000.0,36998632000.0,268834000.0,29111512000.0,37160910000.0,18174900000.0,207619000.0,1565304000.0
HINDOILEXP.NS,166.2899932861328,11.12,99.948,0.0,1472077000.0,13212604000.0,3432888000.0,1607952000.0,19623734000.0,6411130000.0,4208699000.0,952585000.0,1281725000.0
HINDPETRO.NS,395.6000061035156,47.99,240.36,10.5,67357000000.0,511442900000.0,962777200000.0,121920500000.0,1947446400000.0,1436003500000.0,4319944700000.0,97872600000.0,46484100000.0
HINDUNILVR.NS,2604.800048828125,45.97,210.258,48.0,106490000000.0,494020000000.0,165370000000.0,148100000000.0,798800000000.0,302710000000.0,622880000000.0,134960000000.0,106110000000.0
HINDWAREAP.NS,307.1499938964844,-11.9,92.897,0.38,-682900000.0,7770700000.0,11684900000.0,314200000.0,25277400000.0,17416200000.0,25229900000.0,204900000.0,-101400000.0
HINDZINC.NS,428.6499938964844,24.26,31.538,29.0,103530000000.0,133260000000.0,111990000000.0,146480000000.0,344900000000.0,211640000000.0,330410000000.0,137480000000.0,101540000000.0
HIRECT.NS,2035.4000244140625,24.94,93.15,2.0,371125000.0,1598702000.0,2184287000.0,633043000.0,4172884000.0,2574182000.0,6542446000.0,669421000.0,129089000.0
HISARMETAL.NS,184.6100006103516,5.08,115.703,1.0,31800000.0,628100000.0,778100000.0,129400000.0,1655400000.0,1027300000.0,2448300000.0,122100000.0,66527000.0
HITECH.NS,89.47000122070312,3.86,67.739,0.03,729491000.0,12573547000.0,4378386000.0,1409987000.0,17556623000.0,4983076000.0,30676362000.0,1391100000.0,-1200816000.0
HITECHCORP.NS,196.3000030517578,5.69,157.604,1.0,89367000.0,2706953000.0,1200970000.0,279760000.0,4508269000.0,1801316000.0,5597156000.0,261970000.0,-49831000.0
HITECHGEAR.NS,662.75,17.13,257.316,5.0,403630000.0,4835750000.0,1850480000.0,841370000.0,8040790000.0,3205040000.0,9068070000.0,724200000.0,1249950000.0
HLEGLAS.NS,498.9500122070313,8.52,104.782,1.1,467138000.0,4593072000.0,5684048000.0,1112608000.0,12933632000.0,7390785000.0,10275868000.0,1039025000.0,679751000.0
HLVLTD.NS,11.800000190734863,0.33,6.97,0.0,261300000.0,4678600000.0,1305700000.0,283600000.0,6317100000.0,1638500000.0,2033100000.0,124500000.0,227330000.0
HMAAGRO.NS,31.15999984741211,1.72,15.754,0.3,867800000.0,7889070000.0,8681550000.0,1489730000.0,17095200000.0,8995030000.0,51330170000.0,676170000.0,1025860000.0
HMT.NS,56.54999923706055,-3.99,-53.619,0.0,-1430600000.0,-18979000000.0,22879800000.0,-704000000.0,5258800000.0,24237800000.0,1423100000.0,-1327900000.0,-486200000.0
HMVL.NS,87.81999969482422,11.88,208.18,0.0,777800000.0,15343100000.0,7225000000.0,872000000.0,22849900000.0,7506800000.0,7328900000.0,-526200000.0,333700000.0
HNDFDS.NS,530.0499877929688,9.8,75.918,0.0,1096400000.0,8910200000.0,8726300000.0,2279700000.0,24905300000.0,15995100000.0,35643800000.0,2134200000.0,-1592200000.0
HOMEFIRST.NS,1269.5,43.87,279.97,3.7,3820680000.0,25212820000.0,1049680000.0,5325850000.0,122116720000.0,96903900000.0,13254580000.0,3552990000.0,-22102690000.0
HONASA.NS,285.6499938964844,2.25,36.369,0.0,726870000.0,11798300000.0,4897480000.0,1022620000.0,17901390000.0,6103090000.0,20669490000.0,235280000.0,817860000.0
HONAUT.NS,38095.0,578.96,4567.313,105.0,5236000000.0,40382000000.0,14577000000.0,7123000000.0,56046000000.0,15664000000.0,41817000000.0,5677000000.0,3984000000.0
HONDAPOWER.NS,3127.800048828125,72.24,851.351,131.5,799400000.0,8635300000.0,1835500000.0,1081600000.0,10475000000.0,1839700000.0,7942300000.0,658800000.0,-192700000.0
HOVS.NS,61.119998931884766,3.35,19.099,0.0,42171000.0,240575000.0,147834000.0,49676000.0,395314000.0,154739000.0,224683000.0,26845000.0,-12818000.0
HPAL.NS,46.7599983215332,1.84,19.924,0.3,182435000.0,1842796000.0,413457000.0,258796000.0,2280752000.0,437955000.0,2528716000.0,213035000.0,-40878000.0
HPIL.NS,129.27000427246094,1.44,45.467,0.5,16443000.0,516853000.0,258433000.0,49027000.0,930783000.0,413930000.0,1018160000.0,22285000.0,-46164000.0
HPL.NS,499.5499877929688,14.8,142.423,1.0,937693000.0,9151345000.0,11275571000.0,2173675000.0,20947601000.0,11775241000.0,17002440000.0,2124880000.0,592425000.0
HSCL.NS,480.1000061035156,12.34,75.372,0.6,5556336000.0,37217390000.0,6048514000.0,8470101000.0,46560125000.0,8850760000.0,45992155000.0,7917815000.0,2760119000.0
HTMEDIA.NS,25.36000061035156,0.6,71.9,0.0,19500000.0,16662900000.0,17101800000.0,827800000.0,39328900000.0,18834500000.0,18056300000.0,-1306600000.0,333900000.0
HUBTOWN.NS,334.45001220703125,9.46,225.134,0.0,465400000.0,24082500000.0,23754800000.0,2314400000.0,54179800000.0,29482500000.0,4084700000.0,1135600000.0,-5859300000.0
HUHTAMAKI.NS,216.94000244140625,9.85,162.704,2.0,642300000.0,11935500000.0,5771800000.0,1343800000.0,19370600000.0,7435100000.0,24505300000.0,864400000.0,759400000.0
HYBRIDFIN.NS,14.56999969482422,1.09,13.175,0.0,38369000.0,391932000.0,16638000.0,38813000.0,498662000.0,106730000.0,56120000.0,24954000.0,-36832000.0
HYUNDAI.NS,2581.300048828125,67.86,200.583,21.0,56402140000.0,162964650000.0,112663230000.0,77185490000.0,300973590000.0,138008940000.0,679423780000.0,68485000000.0,-9619160000.0
ICDSLTD.NS,48.0,1.08,22.2,0.0,14028000.0,289433000.0,26765000.0,30092000.0,321950000.0,32517000.0,39018000.0,16941000.0,9529000.0
ICEMAKE.NS,735.4500122070312,11.4,78.608,2.25,231102000.0,1240250000.0,1897780000.0,351370000.0,3677213000.0,2440163000.0,4795219000.0,342390000.0,-523508000.0
ICIL.NS,252.3500061035156,10.41,114.997,2.0,2460040000.0,22775749000.0,13139564000.0,4503873000.0,42596188000.0,19820439000.0,38168233000.0,4207323000.0,1425643000.0
ICRA.NS,6317.0,183.56,1094.77,60.0,1700093000.0,10532292000.0,1771028000.0,2387737000.0,12941721000.0,2365191000.0,4970007000.0,1615957000.0,1324823000.0
IDEA.NS,6.579999923706055,-3.62,-9.85,0.0,-273834000000.0,-703202000000.0,556139000000.0,-28242000000.0,1978666000000.0,2681868000000.0,434557000000.0,-38465000000.0,-10459000000.0
IDEAFORGE.NS,459.25,-20.06,141.29,0.0,-622780000.0,6086770000.0,482130000.0,-615810000.0,6718150000.0,631380000.0,1611480000.0,-809620000.0,-1645090000.0
IEL.NS,17.06999969482422,-1.96,3.44,0.0,-252400000.0,2457500000.0,2520400000.0,-207400000.0,5259400000.0,2801900000.0,555300000.0,-111700000.0,237700000.0
IEX.NS,141.58999633789062,5.1,12.807,3.0,4291691000.0,11363031000.0,10065689000.0,5671528000.0,21966591000.0,10603560000.0,5372623000.0,4324167000.0,4194002000.0
IFBAGRO.NS,781.6500244140625,33.25,650.531,0.0,223400000.0,6093600000.0,796600000.0,370300000.0,7173800000.0,1080200000.0,10429600000.0,182800000.0,428000000.0
IFBIND.NS,1500.0,26.48,207.802,0.0,1189100000.0,8419900000.0,12632600000.0,1866100000.0,23576200000.0,15156300000.0,50844700000.0,1787800000.0,113200000.0
IFGLEXPOR.NS,275.5199890136719,5.01,153.584,7.0,429774000.0,11070137000.0,4164151000.0,732918000.0,16185040000.0,5114903000.0,16421066000.0,481645000.0,-446404000.0
IGARASHI.NS,505.8999938964844,5.88,147.911,2.5,241683000.0,4655512000.0,2647799000.0,429243000.0,7750112000.0,3094600000.0,8175748000.0,459427000.0,39160000.0
IGCL.NS,109.36000061035156,5.48,56.483,0.0,282330000.0,2316510000.0,2811500000.0,483970000.0,5422490000.0,3105980000.0,5506890000.0,486551000.0,284920000.0
IGIL.NS,337.04998779296875,10.21,28.561,5.0,4272900000.0,10627490000.0,3038820000.0,5935850000.0,15040620000.0,4413130000.0,10531600000.0,5582530000.0,3538580000.0
IGL.NS,204.5399932861328,12.14,75.827,5.25,19850700000.0,96333700000.0,40800200000.0,25493100000.0,142199600000.0,45701300000.0,139466200000.0,19739800000.0,3027100000.0
IGPL.NS,422.9500122070313,19.68,434.748,10.0,1086966000.0,13387996000.0,6006647000.0,1793569000.0,22109031000.0,8721036000.0,22013939000.0,1615950000.0,1235558000.0
IIFLCAPS.NS,329.6499938964844,21.47,81.123,3.0,7123382000.0,25072282000.0,2285399000.0,11045923000.0,79558403000.0,54458437000.0,19858074000.0,5229684000.0,8227045000.0
IITL.NS,172.69000244140625,3.08,196.386,0.0,40051000.0,4430449000.0,5997000.0,43877000.0,4397083000.0,57225000.0,241650000.0,43877000.0,-1419094000.0
IKIO.NS,195.1100006103516,2.89,72.531,1.0,309110000.0,5605260000.0,841970000.0,457160000.0,6755840000.0,1135520000.0,4858790000.0,362530000.0,-608460000.0
IKS.NS,1585.800048828125,32.42,107.525,0.0,4860590000.0,17896930000.0,5211770000.0,6960470000.0,30518380000.0,12621450000.0,26639940000.0,6570490000.0,2755100000.0
IL&FSENGG.NS,33.18000030517578,-0.85,-243.232,0.0,-48800000.0,-31892800000.0,44082900000.0,-38600000.0,17066000000.0,48958800000.0,3201500000.0,-293600000.0,-488100000.0
IMAGICAA.NS,58.459999084472656,0.98,23.099,0.0,771733000.0,12527875000.0,3207838000.0,938696000.0,18877960000.0,6350085000.0,4102230000.0,863821000.0,304792000.0
IMFA.NS,826.9500122070312,66.34,435.231,20.0,3787200000.0,23482500000.0,7186700000.0,5371400000.0,31774400000.0,8203100000.0,25346300000.0,4777200000.0,4695500000.0
IMPAL.NS,1057.300048828125,66.74,1799.663,30.0,836700000.0,22459800000.0,673800000.0,1048600000.0,25054200000.0,2594400000.0,7857100000.0,603700000.0,161500000.0
